razonSocial,tipoDocumento,numeroDocumento,estado,condicion,direccion,ubigeo,viaTipo,viaNombre
"SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PERÚ",6,20100147514,ACTIVO,HABIDO,AV. CAMINOS DEL INCA NRO 171 URB. CHACARILLA DEL ESTANQUE ,150140,AV.,CAMINOS DEL INCA
COMPAÑIA MINERA ANTAPACCAY S.A.,6,20114915026,ACTIVO,HABIDO,CAMPAMENTO MINERO TINTAYA NRO SN CAMPAMENTO MINERO TINTAYA ,080801,-,CAMPAMENTO MINERO TINTAYA
CAL & CEMENTO SUR S.A.,6,20115039262,ACTIVO,HABIDO,CAR. JULIACA-PUNO HACIENDA YUNGURA KM. 11 ,211104,CAR.,JULIACA-PUNO
SUPERINTENDENCIA NACIONAL DE ADUANAS Y DE ADMINISTRACION TRIBUTARIA - SUNAT,6,20131312955,ACTIVO,HABIDO,AV. GARCILASO DE LA VEGA NRO 1472 ,150101,AV.,GARCILASO DE LA VEGA
PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,6,20155945860,ACTIVO,HABIDO,AV. UNIVERSITARIA NRO 1801 URB. PANDO ,150136,AV.,UNIVERSITARIA
UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,6,20172474501,ACTIVO,HABIDO,AV. DE LA CULTURA NRO 733 ,080101,AV.,DE LA CULTURA
COMPANIA MINERA ARES S.A.C.,6,20192779333,ACTIVO,HABIDO,CAL. LA COLONIA NRO 180 URB. EL VIVERO ,150140,CAL.,LA COLONIA
NEXA RESOURCES CAJAMARQUILLA S.A.,6,20261677955,ACTIVO,HABIDO,CAR. CAR. CENTRAL NRO 9.5 CAJAMARQUILLA ,150118,CAR.,CAR. CENTRAL
EMBAJADA DE LOS ESTADOS UNIDOS AMERICA,6,20293588776,ACTIVO,HABIDO,AV. LA ENCALADA NRO C-17 ,150140,AV.,LA ENCALADA
CEMENTOS PACASMAYO S.A.A.,6,20419387658,ACTIVO,HABIDO,CAL. LA COLONIA NRO 150 URB. EL VIVERO ,150140,CAL.,LA COLONIA
